1000 2470
970 193 22
626 970 80
970 711 16
25 971 96
60 971 54
435 971 34
607 971 81
971 637 56
667 971 95
751 971 51
971 776 26
61 972 1
972 185 92
972 196 86
972 222 69
367 972 25
972 532 50
588 972 54
972 636 46
903 972 63
53 973 63
973 771 70
166 974 91
974 388 12
408 974 92
974 499 24
974 605 25
750 974 40
780 974 80
54 975 71
975 353 98
408 975 19
442 975 76
540 975 56
610 975 49
869 975 79
975 871 42
115 976 19
120 976 79
394 976 21
977 169 17
176 977 11
977 320 71
977 326 96
395 977 29
816 977 21
977 817 23
977 827 36
908 977 24
977 917 24
111 978 19
381 979 28
550 979 33
664 979 89
979 710 39
104 980 11
980 372 45
457 980 6
980 580 32
842 980 93
980 947 91
949 980 60
981 7 901
981 393 843
608 981 8
981 908 60
982 596 60
808 982 12
616 983 12
983 835 5
983 918 81
938 983 3
44 985 48
637 985 51
986 314 75
986 409 25
542 986 31
986 573 39
986 703 84
790 986 9
986 791 95
987 166 28
987 643 9
988 592 72
972 988 83
107 989 31
989 137 5
411 989 80
431 989 69
989 675 21
989 771 47
990 2 55
235 990 59
990 739 90
990 887 75
903 990 49
991 410 80
454 991 70
991 515 62
872 991 12
991 973 86
237 992 65
297 992 82
541 992 7
656 992 97
231 993 69
305 993 75
993 667 96
994 37 46
235 994 90
441 994 49
493 994 1
994 942 51
974 994 63
995 124 3
995 125 17
349 995 8
492 995 77
826 995 59
996 188 18
996 366 25
392 996 45
486 996 9
514 996 97
996 530 54
996 704 17
996 934 88
192 997 35
997 227 23
283 997 78
318 997 51
997 594 55
768 997 4
997 926 68
942 997 56
998 244 79
998 248 28
894 998 62
999 445 13
